,parameter1,parameter2,parameter3,parameter4,frequency,Z,B
149,98154.7321845443,96782.5682863976,3473.05962222847,4584.3925094905,4.0,0.6273573362267034,0.11501363917786517
150,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.08,1.002916711216552,0.0012439674915115358
151,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.16,1.011642327781935,0.0050113936225544015
152,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.24,1.0260897766076487,0.011407004030314803
153,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.32,1.0460677858190874,0.02059823768664141
154,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.4,1.0712087614480525,0.03280121233455515
155,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.48,1.1008656050039074,0.048254328332695204
156,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.56,1.1339850317319855,0.06717348247807557
157,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.64,1.168983364322227,0.08968410056945901
158,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.72,1.2036804803737942,0.1157318831254635
159,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.8,1.2353782538177231,0.14498903514049769
160,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.88,1.261170433380056,0.17679345857042453
161,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,0.96,1.2784981065302787,0.21017104510044535
162,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.04,1.2858122351161139,0.24397308003258503
163,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.12,1.2830639607675522,0.2771039113326345
164,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.2,1.2717662257055646,0.30875236560019875
165,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.28,1.2545934808981478,0.3385305556509304
166,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.36,1.2347372561150696,0.3664801070190167
167,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.44,1.2153101411262788,0.3929781262666772
168,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.52,1.198976164105563,0.4186077856427586
169,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.6,1.1878236219682257,0.4440447368480569
170,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.68,1.1834015773664914,0.469979464288843
171,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.76,1.1868258506842142,0.49707163026906903
172,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.84,1.1988837305546436,0.5259212383872135
173,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,1.92,1.220092489672304,0.5570380572120766
174,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.0,1.250679807429819,0.5907891181987973
175,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.08,1.2904537167030028,0.6273011070227094
176,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.16,1.3385234042202385,0.6662913101389913
177,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.24,1.3928386417269232,0.706805835159565
178,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.32,1.4495747134103254,0.7468783250771809
179,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.4,1.5025651336320713,0.7832211712145429
180,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.48,1.5433012926724423,0.811237499026589
181,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.56,1.5622588334938798,0.8257740969603456
182,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.64,1.5518514374101968,0.8227766343096989
183,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.72,1.5097853498361007,0.8011576273889404
184,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.8,1.4403525091364509,0.7635051210173801
185,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.88,1.3524554368797999,0.7149663104987246
186,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,2.96,1.2559666533373555,0.6612064789718385
187,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.04,1.1589231492657392,0.606839504574696
188,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.12,1.0665439212279526,0.5548797140499058
189,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.2,0.9815433834306345,0.5069193430590855
190,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.28,0.9048963812884863,0.46355927580639966
191,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.36,0.8365515954991882,0.42481131401758626
192,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.44,0.7759363488370727,0.39038373795808545
193,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.52,0.7222649874339876,0.35985664343655044
194,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.6,0.6747086864734275,0.3327792685886431
195,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.68,0.6324798861243817,0.3087190627841098
196,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.76,0.594868343269743,0.2872832472027802
197,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.84,0.5612515247341341,0.26812566291058276
198,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,3.92,0.5310923593714908,0.25094626941864867
199,95603.5225999798,31714.2903940467,2116.33777355998,4685.60428571589,4.0,0.5039314467775124,0.2354873331497434
200,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.08,1.0023544562800706,0.0007338141859319926
201,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.16,1.0093551354800765,0.0029410239165445213
202,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.24,1.0208105931372182,0.006637433044015647
203,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.32,1.036390922277794,0.011844322744589582
204,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.4,1.0556131778089606,0.018580683080970217
205,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.48,1.0778249986977013,0.02685216836559168
206,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.56,1.1021917742009477,0.03663706901797676
207,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.64,1.1276953349707746,0.047870329074202744
208,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.72,1.1531541276668287,0.06042774735060252
